Name,Property,Amplitude Dashboard,Amplitude Dashboard (1),Analysis Date,Bayes Outcome Report,Config Code,Don't Reshuffle 5%,Early Stopping Criteria,Exp Off: date/build,Experiment Type,Final Step,Hypothesis,Hypothesis Correct?,NHST Outcome Report,Overlappers,Owner,Platform,Power Analysis,Related to New Users Work (Property),Related to Onboarders Work (Experiment Card),Related to Trial2020 (Property),Run Dates,Screenshots,Stage,Stakeholders,Test Dates,Treatment Description,Version Number,uuid
Onboarding Trial vs 50% off Sale,No,NA,NA,NA,NA,NA,No,NA,NA,"Onboarding, Trial",Stick with trial page in onboarding,NA,NA,"Experiment%201f19a/bfcm_android_onboarding_flow.pdf, Experiment%201f19a/bfcm_ios_onboarding_flow_fix1.pdf",NA,Paul Apollo,"Android, iOS",NA,NA,NA,NA,"November 24, 2019 → November 27, 2019",NA,Complete-2019,Sarah Molhan,NA,"Treatment saw a 50% off sale offered in onboarding.
Control saw our standard trial page",NA,fdf04e44-4d31-4f5f-9783-8928d2038a81
iOS Longboarding - Q4 2019 Edition,No,https://analytics.amplitude.com/loseit/dashboard/a49pb11,NA,NA,NA,"""experiments"" value from https://loseit.com/m/configuration?format=complex",No,NA,NA,Onboarding,"Test different variants of long boarding- questions, format, content type.",We will see an increase in conversion and engagement,NA,"Experiment%201f19a/iosLongBoarding_2019_12_02.pdf, Experiment%201f19a/longboarding-nov2019-bayes-redone_for_feb_2020.pdf, Experiment%201f19a/longboarding-nov2019-nhst_-_redone_for_feb_2020.pdf",NA,Paul Heayn,iOS,NA,NA,NA,NA,"November 13, 2019 → November 24, 2019",NA,Complete-2019,"Eric Puidokas, Austin Wright, Patrick Rills",NA,"This is the exact same experiment as previous longboarding experiments, but uses app logic to distribute traffic between the control and the treatment. User IDs that are odd are in the control; evens are in the treatment. This will affect all new users on 11.6.200 and has a kill switch in case we need to shut it off",12.2.600,93dbe53c-cd2f-49d0-bc33-1340ab18fa15
iOS Larger Purchase CTA,No,https://analytics.amplitude.com/loseit/dashboard/v859zsq,NA,NA,NA,"""experiments"" value from https://loseit.com/m/configuration?format=complex",No,NA,NA,Premium,We are shutting this experiment down and reverting to the control,Making the CTA easier to understand will improve conversion rates,No,Experiment%201f19a/ios_largerCTA_2019_11_19.pdf,NA,Paul Heayn,iOS,NA,NA,NA,NA,"November 4, 2019 → November 20, 2019",Experiment%201f19a/Simulator_Screen_Shot_-_iPhone_SE_-_2019-10-24_at_16.33.11.png,Complete-2019,"Brian Bouchard, Olivia Xu, Alon Rivel","October 30, 2019 → November 4, 2019","On the premium purchase page, the user will see a CTA that is clearer to read with larger font. The treatment group will not see the Weight Watcher text below the CTA",11.5.800,8273d1a0-a740-49b0-8d60-ee177e17c320
EBM Trials for New Users,No,https://analytics.amplitude.com/loseit/dashboard/36k6nom,NA,NA,NA,"No config used

Treatment: User IDs match RegEx: [56789]$
Control: Used IDs match RegEx: [01234]$",No,NA,NA,"IAM, Trial","What is the immediate action being taken when you move the card to ""Complete""?",Trials will appeal to some new users and we will see longer term effects in RPP for this user base.,No,"Experiment%201f19a/Reanalysis_of_EBM_Trials_(New_Users__Trials).pdf, Experiment%201f19a/ebm_reanalysis.pdf, Experiment%201f19a/ebm-trials-new-users-bayes.pdf, Experiment%201f19a/ebm-trials-new-users.pdf, Experiment%201f19a/ebm_trial_redo_may_bayes.pdf, Experiment%201f19a/ebm_trial_redo_may_nhst.pdf",NA,"Katie Bourdon, Paul Heayn","Android, iOS",NA,NA,NA,NA,"November 1, 2019 → November 22, 2019",NA,Complete-2020,Robert Mohr,NA,"50% of new users will get a standard 9 day EBM offering a 7 day free trial.

If a new user joins on the last day of the experiment, they will only see 1 day of the trial offer.",— From April 2020 Sarah: my best guess is that this turned on in 11.5.800 (https://analytics.amplitude.com/loseit/chart/new/vnlwfyl),a2f6860a-94e2-4a74-b86d-43cf815e4e72
iOS // Day 1 Badge (.700),No,Added August 2020: https://analytics.amplitude.com/loseit/dashboard/kpka9tj,NA,NA,NA,iOSDayOneBadge(6879.k2gb0c7c)-day1,No,NA,NA,"Logging, Onboarding",NA,"We believe this will provide a measurable lift in Day 1 meal logging, Day 2 return visits, and overall engagement as a whole.",No,"Experiment%201f19a/day-one-badge-take2.pdf, Experiment%201f19a/November_2019_Day_1_Badge_Experiment_Take_3.pdf",NA,Austin Wright,iOS,NA,NA,NA,NA,"November 1, 2019 → November 20, 2019",NA,Complete-2020,Whitney Klinkner,"October 29, 2019 → October 31, 2019","This experiment it targeted at all users (new and old) who have never logged a meal item before. After users log their breakfast, they will be prompted with a full page message (see screenshots below) that informs them of the ""Strong Start"" badge and what they need to do to earn it. They simply need to log any item in all three meal categories to receive the badge (even non-caloric items like water would count). If users select ""Count me out."" they will not receive any updates on their progress and they will not be eligible to receive the Strong Start badge. If the users selects ""I got this"" then they will receive progress updates upon subsequent logs to their meals. This is mainly a behavioral test for the upcoming (larger) Badge Work that is in the pipeline.",11.5.800,45a550ed-3e7f-48eb-86d7-0f7ce20eb556
iOS // Notification Push Primer,No,make a copy of this: https://analytics.amplitude.com/loseit/dashboard/kxvjyql,NA,NA,NA,"""experiments"" value from https://loseit.com/m/configuration?format=complex",No,NA,NA,"Onboarding, Push",Turn on the push primer to 100%,"When we prime a user with the benefit of enabling push notifications, we will see an increase in engagement and no effect to conversion",Yes,"Experiment%201f19a/ios_pushprimer_12_02_2019.pdf, Experiment%201f19a/ios_not_pushprimer_2019_11_19.pdf",NA,Paul Heayn,iOS,NA,NA,NA,NA,"October 31, 2019 → November 19, 2019",Experiment%201f19a/NotificationPrimer.png,Complete-2019,"Brian Bouchard, Austin Wright, Olivia Xu","October 29, 2019 → October 31, 2019","If a new user is in the treatment, they will see this notification primer after the trial screen",11.5.100,2bcbdb53-b655-4de0-914a-855c84a628d0
iOS // Sign in with Apple,No,make a copy of this: https://analytics.amplitude.com/loseit/dashboard/kxvjyql,NA,NA,NA,iOSSignInApple(6884.k2nccte8)-siwa (50%),No,NA,NA,Onboarding,Rolled to 100% on 11/19/2019,"Depending on iOS adoption of SiwA, we believe that a more trusted sign in approach will eventually win over users, especially considering Apple's potential integration of SiwA across multiple apps and with their added privacy features. This is more of a test to make sure it doesn't crash and/or dramatically impact our core metrics.",NA,Experiment%201f19a/sign-in-apple.pdf,NA,Austin Wright,iOS,NA,NA,NA,NA,"October 31, 2019 → November 13, 2019",NA,Complete-2019,Whitney Klinkner,"October 28, 2019 → October 30, 2019","This is to test the addition of Sign in with Apple to our Sign In / Sign Up flows, as well as the ""burying"" effect of putting Facebook Sign in behind the ""other options"" label.",11.6.100,9d664d7e-45b3-44c9-b1c2-4f90af916f33
iOS Premium Onboarding,No,https://analytics.amplitude.com/loseit/dashboard/r8055be,NA,NA,NA,"""experiments"" value from https://loseit.com/m/configuration?format=complex",No,NA,NA,Premium,Iterate on the experiment by adding new cards if this wins or loses,Educating users about premium features and setting them up with some features will improve engagement and should affect trial conversion,NA,Experiment%201f19a/ios_premonb_2019_12_4_fix2.pdf,NA,Paul Heayn,iOS,NA,NA,NA,NA,"October 30, 2019 → November 20, 2019","Experiment%201f19a/Screen_Shot_2019-11-01_at_2.31.34_PM.png, Experiment%201f19a/Screen_Shot_2019-11-01_at_2.31.47_PM.png",Complete-2019,"Austin Wright, Brian Bouchard, Olivia Xu","October 28, 2019 → October 30, 2019","Once a user purchases premium (trial or premium), he/she would see a new onboarding flow to set up certain features",11.5.800,f89ca165-3c4b-4861-bcd7-a9aae13fd951
iOS Common Choice,No,https://analytics.amplitude.com/loseit/dashboard/hr9ma7g,NA,NA,NA,iOSCommon(6861.k1qjtpsw)-common (50%),No,NA,NA,Logging,We're reverting to the old common choice algorithm,"This might decrease time logging if it's better, and potentially result in more foods logged. Other than that, no metrics should move.",No,https://drive.google.com/open?id=127DXpLIs65ruz8KUX_0FW5orHFyXMCHP,NA,Sarah Molhan,iOS,NA,NA,NA,NA,"October 14, 2019 → October 17, 2019",NA,Complete-2019,"Alex Wilson, Whitney Klinkner, Olivia Xu","October 9, 2019 → October 13, 2019","Treatment will have the new common choice algorithm that gives recently log foods priority. 

""Common Choice"" are the top 5 foods listed on the empty-state search screen. We've used an older algorithm to pick those top 5 foods ever since it's existed. That older algorithm picks the foods that have been most logged for the given meal over the last 30 days. The new algorithm gives foods that have been recently logged for the given meal a higher priority; so it picks up on the foods a user has been eating recently, not just the foods the user has been eating a lot in the last 30 days. 

I don't expect users to notice this experiment is on, but hopefully it makes common choice work better for them.",11.5.500,c5018ca9-76a1-4f06-b19b-2a37332a11af
iOS: Turn Trials Off,No,https://analytics.amplitude.com/loseit/dashboard/r1nstwu,NA,NA,NA,iosTrialModeV2(6857.k1kz7tdk)-noTrial,No,NA,NA,Trial,"What is the immediate action being taken when you move the card to ""Complete""?","Revenue should drop, conversion should drop, engagement should increase",NA,Experiment%201f19a/ios_notrial_ios13_2019_10_25.pdf,NA,Paul Heayn,iOS,NA,NA,NA,NA,"October 10, 2019 → October 31, 2019",NA,Complete-2019,"Patrick Rills, Eric Puidokas, Paul Apollo, Olivia Xu, Patrick Wetherille",NA,New Users would not see the trial sign up page,Min version # treatment is available in — 11.5.800,c915620d-6624-4f5b-967c-fcfe442c307b
Android Residual Locked Macros,No,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Paul Heayn,NA,NA,NA,NA,NA,"October 10, 2019 → October 18, 2019",NA,Complete-2019,NA,NA,NA,NA,86c2c0d1-09f2-4695-a836-71874e17ebc8
iOS Residual Locked Macros,No,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Paul Heayn,NA,NA,NA,NA,NA,"October 10, 2019 → October 18, 2019",NA,Complete-2019,NA,NA,NA,NA,65c752d8-ef23-4103-8fe7-d6c4efdc795d
Reward for Weight Loss October Challenge,No,make a copy of this: https://analytics.amplitude.com/loseit/dashboard/kxvjyql,NA,NA,NA,"This does not have traditional config codes

Treatment: Experiment%201f19a/october_challenge_odds_treatment.csv
Control: Experiment%201f19a/october_challenge_evens_control.csv",No,NA,NA,NA,"What is the immediate action being taken when you move the card to ""Complete""?",Users who are included in the October weight loss challenge (treatment) will record more weight loss in October.,NA,Experiment%201f19a/october-weight-loss.pdf,NA,"Katie Bourdon, Paul Heayn",NA,NA,NA,NA,NA,"October 1, 2019 → October 31, 2019",NA,Complete-2020,Robert Mohr,NA,"Logged weight at least once in September (including in onboarding) OR a new member in October (with signup date 10/1-10/8)
Free users
US only
Weight BMI greater than or equal to 25
iOS only
user_id = odd",Min version # treatment is available in — 11.5.800,da96df95-6c79-4f89-83a9-6b8026b699dd
Android Common Choice,No,https://analytics.amplitude.com/loseit/dashboard/g6oq53k,NA,NA,NA,AndCommon(6841.k0xwv6cg)-common (50%),No,NA,NA,Logging,We're reverting to the old common choice algorithm,"this might decrease time logging if it's better. Other than that, we should see nothing.",No,"https://drive.google.com/file/d/1cmi6BwL5sGHP7C4RCL2_8kg_A9mqhkB9/view?usp=sharing, https://drive.google.com/open?id=1wa6EMzoTMAeOvG-QtnJHrpQVSFnBlF6b",NA,Sarah Molhan,NA,NA,NA,NA,NA,"September 24, 2019 → October 23, 2019",NA,Complete-2019,"Alex Wilson, Whitney Klinkner, Olivia Xu","September 19, 2019 → September 23, 2019","Treatment will have the new common choice algorithm that gives recently log foods priority. 

""Common Choice"" are the top 5 foods listed on the empty-state search screen. We've used an older algorithm to pick those top 5 foods ever since it's existed. That older algorithm picks the foods that have been most logged for the given meal over the last 30 days. The new algorithm gives foods that have been recently logged for the given meal a higher priority; so it picks up on the foods a user has been eating recently, not just the foods the user has been eating a lot in the last 30 days. 

I don't expect users to notice this experiment is on, but hopefully it makes common choice work better for them.",11.5.200,99c25c36-a9f0-442e-a615-f02283fd8c4d
iOS // Patterns Log Promo,No,make a copy of this: https://analytics.amplitude.com/loseit/dashboard/kxvjyql,NA,NA,NA,"""experiments"" value from https://loseit.com/m/configuration?format=complex",No,NA,NA,"NewPromo, Premium",Turned on treatment for 100% of users since it looks better,What do you expect to happen?,NA,Experiment%201f19a/log_patterns_promo.pdf,NA,Austin Wright,iOS,NA,NA,NA,NA,"September 23, 2019 → October 10, 2019",NA,Complete-2019,"Patrick Rills, Robert Mohr","September 20, 2019 → September 23, 2019",Users will receive a generic pattern attached to a food item on the log even though they don't actually have a pattern for that food.,11.5.100,9433a720-923a-4cbc-b6cd-7da449a50a4f
Android Serving Size Page Ad,No,https://analytics.amplitude.com/loseit/dashboard/9w6v6k3,NA,NA,NA,AndServingSizeAd(6807.jzlo9k34)-ServingSizeAd,No,NA,NA,Advertisements,We are turning off this ad unit.,What do you expect to happen?,NA,https://drive.google.com/open?id=1FbW8DIgpUlvXyWnnz2TcEcB51J61Ym8Y,NA,Sarah Molhan,Android,NA,NA,NA,NA,"September 23, 2019 → October 24, 2019",Experiment%201f19a/Screenshot_20191106-093232_Lose_It!.jpg,Complete-2019,Olivia Xu,NA,"The treatment group has an ad on the serving size page. The control group does not. 

This experiment was turned on at some point and it wasn't supposed to be. That said, I'm taking a look at what happened to see if we can see anything.",11.5.100,113b7373-4161-4f83-a8ae-29c34e882da1
iOS // Me Tab Section Ordering,No,make a copy of this: https://analytics.amplitude.com/loseit/dashboard/kxvjyql,NA,NA,NA,"""experiments"" value from https://loseit.com/m/configuration?format=complex",No,NA,NA,NA,Turn to 100,There will be no conversion effect and a slight engagement lift or flat,NA,Experiment%201f19a/ios_me_tab_reorder.pdf,NA,Austin Wright,NA,NA,NA,NA,NA,"September 13, 2019 → September 30, 2019",NA,Complete-2019,Patrick Rills,NA,Reorder the section on the new flat Me/Profile so Foods is much closer to the top. Make sure this doesn't affect the conversion bump we gained in releasing this change originally,11.5.100,c44c56fe-c8e3-4ed7-bca3-201961b9f0a0
iOS Realigning Premium,No,https://s3-us-west-2.amazonaws.com/secure.notion-static.com/27987907-4922-47ee-a1fa-770c3e1eabd0/Simulator_Screen_Shot_-_iPhone_7_-_2019-08-23_at_15.49.39.png,NA,NA,NA,NA,No,NA,NA,NA,NA,If we make premium more clear we will increase conversion over being unclear on premium and we can make up the engagement loss in the locked macros experiment by moving premium features over to free.,NA,Experiment%201f19a/iosrealign_2019-10_11.pdf,NA,Paul Heayn,NA,NA,NA,NA,NA,"September 12, 2019 → October 10, 2019",NA,Complete-2019,"Patrick Rills, Austin Wright, Olivia Xu","September 9, 2019 → September 11, 2019","New users in the treatment who opt-out of the trial would see the attached experience instead of the purchase page or leaf nodes. Furthermore, some premium features (future planning, meal targets, meal names, exercise goals, themes) would become free in this treatment. All IAMs would forward a user to the experience. When a user purchases a pack or bundle, that user would receive Lose It! Premium",NA,38eea92d-15ba-4b28-8950-661b86ce96c8
Android Realigning Premium,No,https://s3-us-west-2.amazonaws.com/secure.notion-static.com/51fbf5d3-bafe-4e85-8c50-604291e3ec59/63533204-4f11ec00-c4da-11e9-8007-75e718bb7811.jpg,NA,NA,NA,NA,No,NA,NA,NA,NA,If we make premium more clear we will increase conversion over being unclear on premium and we can make up the engagement loss in the locked macros experiment by moving premium features over to free.,NA,Experiment%201f19a/andrealign-2019_10_11.pdf,NA,Paul Heayn,NA,NA,NA,NA,NA,"September 11, 2019 → October 9, 2019",NA,Complete-2019,"Olivia Xu, Dave Gedarovich, Emma MacDonald",NA,"New users in the treatment who opt-out of the trial would see the attached experience instead of the purchase page or leaf nodes. Furthermore, some premium features (future planning, meal targets, meal names, exercise goals, themes) would become free in this treatment. All IAMs would forward a user to the experience. When a user purchases a pack or bundle, that user would receive Lose It! Premium",NA,703fa416-4a4b-4d82-bb20-89ab84a6525d
iOS Verified Filter,No,https://analytics.amplitude.com/loseit/dashboard/nq16ifn,NA,NA,NA,iOSFilter(6829.k0gpf3vk)-verified,No,NA,NA,Logging,This went to 100% on 1/10/2020,"We expect no impact on engagement or conversion.
We expect an improvement in % foods that are verified & have complete nutrients
We expect a duration/time-spent to increase",No,https://drive.google.com/open?id=1G9v2YhxzrKa_1nqLRsfdQxQa0bC8QP85,NA,NA,NA,NA,NA,NA,NA,"September 11, 2019 → January 10, 2020",NA,Complete-2019,"Sarah Molhan, Whitney Klinkner, Alex Wilson, Olivia Xu","September 9, 2019 → September 11, 2019","Users in the treatment will see a ""verified only"" toggle on the results page of their search. Toggling this filter on will only show verified results.",11.4.902+,812d748d-9cd0-4959-9138-0a2f77e6ece1
iOS // Goals Tab Redesign,No,https://analytics.amplitude.com/loseit/dashboard/g03yh8d,NA,NA,NA,"iOSv2GoalsTab(6826.k0cqgyaw)-v2
iOSv2GoalsTab(6826.k0cqgyaw)_default",No,NA,NA,UI Changes,"What is the immediate action being taken when you move the card to ""Complete""?","Initially, we expected this to drive conversion gains. Later, I (Sarah) believe the goal was to just see no major changes in metrics after the full overhaul of the tab.",NA,"Experiment%201f19a/ios_goals_tab_redesign.pdf, Experiment%201f19a/ios-goals-tab-redesign-bayes.pdf, Experiment%201f19a/ios_goals_202_01_27.pdf",NA,Austin Wright,iOS,NA,NA,NA,NA,"September 9, 2019 → January 21, 2020",NA,Complete-2020,"Patrick Rills, Olivia Xu","September 9, 2019","The treatment gets the ""Card-i-fied"" version of the goals tab; a total redesign. 

The new goals tab was rolled out to 50% on 9/9/19. After the results of that first experiment showed no impact on conversion, we made some general updates, and also other design/organizational changes based on feedback from users & Apple, including adding the expand/collapse options. These updates were released in 11.6.901.","First time: 11.4.900
Second Crack At It: 11.6.901",fc87d8e8-eaf0-4b35-a556-437f936dd922
Android Verified Filter,No,https://analytics.amplitude.com/loseit/dashboard/nq16ifn,NA,NA,NA,AndVerified(6826.k0cqf368)-verified,No,NA,NA,Logging,This went to 100% on 1/10/2020,"We expect no impact on engagement or conversion.
We expect an improvement in % foods that are verified & have complete nutrients
We expect a duration/time-spent to increase",No,https://drive.google.com/open?id=1ih39WkBju5cN2104keXv09IOwG27calh,NA,NA,NA,NA,NA,NA,NA,"September 9, 2019 → January 10, 2020",NA,Complete-2019,"Sarah Molhan, Mia Forte, Whitney Klinkner, Olivia Xu","September 4, 2019 → September 9, 2019","Users in the treatment will see a ""verified only"" toggle on the results page of their search. Toggling this filter on will only show verified results.",11.4.900+,536b3c64-539d-4636-9e51-b392e0d62197
Android // Remove longboarding questions,No,https://analytics.amplitude.com/loseit/dashboard/lqdwz3h,NA,NA,NA,NA,No,NA,NA,Onboarding,Will be formulating a pitch for next circuit to improve on questions,Removing the longboarding questions will cause the trial take rate to decrease because users won't be primed for the trial by the questions.,Yes,Experiment%201f19a/AndRemoveLongQ2_2019_10_22.pdf,NA,Emma MacDonald,NA,NA,NA,NA,NA,"September 6, 2019 → October 9, 2019",NA,Complete-2019,Robert Mohr,"September 3, 2019 → September 6, 2019",NA,11.4.800,d5c4e912-018b-4d60-9b97-f1e8186b7053
Android // Flattened Me Tab (Existing User),No,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Experiment%201f19a/AndMeV2_2019_09_05.pdf,NA,NA,NA,NA,NA,NA,NA,"September 5, 2019",NA,Complete-2019,"Emma MacDonald, Olivia Xu",NA,NA,NA,f96141b9-9eec-49e2-897e-eb2ae8d693a5
50% Off Sale for Most Active Users,No,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,https://docs.google.com/document/d/1yLP5DaaESAY3y1B6_-pd5aPm0ATedF_6MZAUFn_fu4Q/edit,NA,Katie Bourdon,NA,NA,NA,NA,NA,"September 3, 2019 → September 15, 2019",NA,Complete-2019,"Katie Bourdon, Olivia Xu",NA,Pulled a list of the top 10% of most active users in August and give 50% of this group a 50% off sale.,NA,ed06155c-3fbb-4295-9749-b9e1e42564a1
Android Search Improvements & Instant Search,No,https://analytics.amplitude.com/loseit/dashboard/suk2mcc,NA,NA,NA,AndInstSearch(6812.jzslx6vc)-instant,No,NA,NA,Logging,"After we fix a bug that's impacting a small number of international users on instant search, we'll turn it up to 100% and it'll become our new ""search""!",We expect to see a time-spent drop on Meal Tracking Session,Yes,https://drive.google.com/open?id=1jfCcXuV2gE14z-eAo-KTCfncxtQz6PXD,NA,Sarah Molhan,NA,NA,NA,NA,NA,"August 26, 2019 → September 6, 2019",NA,Complete-2019,"Sarah Molhan, Alex Wilson, Olivia Xu",NA,"With instant search, we are first calling on the on-device tables to execute an offline-first search. If there are no results on-device or the user scrolls past the on-device results, we call on the server. The user should not notice any difference to search, other than it being faster.
Also we have reworked a lot with how android search works to make it better.",11.4.700+,68975384-b765-4462-9440-3365e905dce0
iOS Trial Page with Skip Button,No,https://s3-us-west-2.amazonaws.com/secure.notion-static.com/1a76382f-2a37-407a-af18-3d9a3174d6c3/skip-button.png,NA,NA,NA,NA,No,NA,NA,Trial,NA,NA,NA,Experiment%201f19a/iosskiptrial_2019_09_30REDO.pdf,NA,NA,NA,NA,NA,NA,NA,"August 23, 2019 → September 13, 2019",NA,Complete-2019,"Olivia Xu, Paul Heayn, Patrick Rills",NA,NA,NA,4f322ec2-b5a9-47d4-bec6-deabba685bab
Premium EBM Cadence Testing,No,https://s3-us-west-2.amazonaws.com/secure.notion-static.com/e30ce65a-8919-4dc1-90a3-141c4b253b12/Upload_a_screenshot,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"August 22, 2019 → August 22, 2019",NA,Complete-2019,"Paul Apollo, Robert Mohr",NA,NA,NA,5c939264-57d0-456d-9477-844b07c53cda
[Provisional] Purchase From IAM,No,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Experiment%201f19a/full_page_iam.pdf,NA,NA,NA,NA,NA,NA,NA,"August 21, 2019",NA,Complete-2019,"Paul Apollo, Paul Heayn, Robert Mohr",NA,https://docs.google.com/document/d/1_0E3guRbTl1Wm-wB1xsCo6-jUTiU59eOdLTJtjO6XhE/edit,NA,ef296667-e5e1-4555-beca-20b13207c2e4
iOS Instant Search,No,https://analytics.amplitude.com/loseit/dashboard/suk2mcc,NA,NA,NA,iOSInstant(6805.jzikegs0)-instant,No,NA,NA,Logging,"Unless this does something bad to engagement or conversion, we'll put everyone on instant search.","We expect a decrease in Meal Tracking Session duration from instant search.
We expect no impact on any other metrics.",NA,https://drive.google.com/open?id=1U4Q7_cStu6TSflDUXheejFkhIHS3sAO8,NA,NA,NA,NA,NA,NA,NA,"August 19, 2019 → August 29, 2019",NA,Complete-2019,"Sarah Molhan, Mia Forte, Olivia Xu","August 15, 2019 → August 19, 2019","With instant search, we are first calling on the on-device tables to execute an offline-first search. If there are no results on-device or the user scrolls past the on-device results, we call on the server. The user should not notice any difference to search, other than it being faster.",11.4.600+,47f42ba7-98c1-4ed1-8e33-5db12a446123
iOS // Flattened Me Tab + Plus Button + New Launcher,No,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Experiment%201f19a/plus_button.pdf,NA,NA,NA,NA,NA,NA,NA,"August 19, 2019 → August 29, 2019",NA,Complete-2019,"Austin Wright, Robert Mohr",NA,NA,NA,ca08bd0d-c362-40c7-b38c-9510037380ac
Android // Multiple product purchase page (yearly & monthly),No,https://s3-us-west-2.amazonaws.com/secure.notion-static.com/a455d2b4-06a5-471e-8c06-1ad57803f77d/Upload_a_screenshot,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Experiment%201f19a/and_mult_prod_2019_08_27.pdf,NA,NA,NA,NA,NA,NA,NA,"August 5, 2019 → August 26, 2019",NA,Complete-2019,"Emma MacDonald, Olivia Xu",NA,NA,NA,154f38ac-2995-4d68-a3b2-8ff4cfd27d24
Android // Flattened Me Tab (New User),No,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Experiment%201f19a/me-tab-2019-08-26.pdf,NA,NA,NA,NA,NA,NA,NA,"August 1, 2019 → August 18, 2019",NA,Complete-2019,"Emma MacDonald, Olivia Xu",NA,NA,NA,5156ae14-4e10-4c73-83be-300464e54704
Logging: iOS Serving Size Update,No,https://analytics.amplitude.com/loseit/dashboard/ap8ga6m,NA,NA,NA,NA,No,NA,NA,Logging,NA,NA,NA,"https://drive.google.com/file/d/1ThCtKGASbjFvvc3D3fOrDqmzxZWpp1fE/view, https://drive.google.com/file/d/1Nrzbnn-76-MhCt-HLlwYShTBPgEb74_P/view",NA,NA,NA,NA,NA,NA,NA,"July 23, 2019 → August 1, 2019",NA,Complete-2019,"Sarah Molhan, Alex Wilson, Mia Forte, Whitney Klinkner, Diandra Zaki, Olivia Xu",NA,NA,NA,dab731f9-9372-4ff5-9011-ef8ce4d13d44
iOS // Multiple product purchase page (yearly & monthly),No,https://analytics.amplitude.com/loseit/dashboard/xwey8cy,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Experiment%201f19a/mult_prod_purch_NOREALLYUSEME.pdf,NA,NA,NA,NA,NA,NA,NA,"July 22, 2019 → August 21, 2019",NA,Complete-2019,"Austin Wright, Paul Heayn, Olivia Xu, Raj Sathianarayanan, Whitney Klinkner",NA,NA,NA,fae571f0-5d9f-4448-9a16-4f6991e56bc2
Free Scale Weigh In EBM,No,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Paul Apollo,NA,NA,NA,NA,NA,"July 17, 2019",NA,Complete-2019,Robert Mohr,NA,NA,NA,e822908e-ae2e-4c6a-be2e-7d09332a70b1
July 4th Push,No,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Katie Bourdon,NA,NA,NA,NA,NA,"July 8, 2019 → July 11, 2019",NA,Complete-2019,"Alon Rivel, Robert Mohr",NA,NA,NA,3596cd07-ed55-41bc-b654-3bd6d14c7979
Onboarding Trial Offer with Floating Panel,No,https://s3-us-west-2.amazonaws.com/secure.notion-static.com/1120c898-d908-440f-b2b2-215477d6f649/trial.png,NA,NA,NA,NA,No,NA,NA,Trial,NA,NA,NA,Experiment%201f19a/float_07_24_2019_(1).pdf,NA,NA,NA,NA,NA,NA,NA,"July 2, 2019 → July 23, 2019",Experiment%201f19a/trial.png,Complete-2019,"Patrick Rills, Paul Heayn, Olivia Xu",NA,NA,NA,0a3088ff-28df-4d67-8861-d35af641320e
(25/75) iOS Premium Nutrients for New Users,No,https://s3-us-west-2.amazonaws.com/secure.notion-static.com/0e9385aa-c04f-4035-8c46-f4de0f5b2ba8/screen_shot_2019-03-20_at_4.01.44_pm.png,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Experiment%201f19a/ios_premium_nutrients-without-trials_(1).pdf,NA,NA,NA,NA,NA,NA,NA,"July 1, 2019 → July 8, 2019",NA,Complete-2019,"Whitney Klinkner, Eric Puidokas, Paul Heayn, Robert Mohr",NA,NA,NA,fce090c1-b793-47cc-9a47-a8ae1209d1be
iOS $80 Price Test for New Users,No,https://s3-us-west-2.amazonaws.com/secure.notion-static.com/faba1186-7b2d-41aa-8895-fe01177d5cc6/Results,NA,NA,NA,NA,No,NA,NA,Premium,NA,NA,NA,Experiment%201f19a/Price-Test-07-24-2019.pdf,NA,NA,NA,NA,NA,NA,NA,"June 26, 2019 → July 17, 2019",NA,Complete-2019,"Paul Heayn, Olivia Xu, Raj Sathianarayanan, Patrick Wetherille, Eric Puidokas, Whitney Klinkner",NA,NA,NA,f26c69b9-ffa1-4492-bdd9-1577dc50ecf6
Lifetime Cannon Experiment,No,https://s3-us-west-2.amazonaws.com/secure.notion-static.com/dadc12e3-4ef8-44c9-8435-65988fcec433/Upload_a_screenshot,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"June 18, 2019 → July 8, 2019",NA,Complete-2019,"Paul Apollo, Olivia Xu",NA,NA,NA,d93e6820-1bfc-43b2-b846-cf6252f1978e
